persona1,persona2,weight
44,60,0.42
44,70,0.71
44,78,0.66
44,82,0.17
45,74,0.27
45,105,0.75
45,118,0.74
45,176,0.34
45,189,0.49
46,52,0.15
46,77,0.48
46,88,0.16
46,99,0.31
47,51,0.59
47,56,0.23
47,61,0.28
47,131,0.85
47,181,0.18
48,79,0.38
48,90,0.8
48,100,0.45
49,54,0.56
49,92,0.7
49,124,0.63
49,126,0.16
49,163,0.81
49,176,0.2
49,188,0.63
50,63,0.61
50,67,0.22
50,134,0.73
50,146,0.29
50,147,0.21
51,56,0.15
51,61,0.76
51,84,0.8
51,122,0.45
52,88,0.55
52,98,0.82
52,99,0.58
52,119,0.46
52,171,0.17
53,70,0.35
53,78,0.21
53,79,0.72
53,150,0.28
53,179,0.16
54,92,0.21
54,124,0.26
54,126,0.43
54,152,0.34
54,163,0.28
54,188,0.48
55,89,0.49
55,97,0.4
55,120,0.13
55,184,0.87
55,193,0.1
56,61,0.56
56,84,0.62
56,122,0.83
56,154,0.11
56,181,0.78
57,104,0.29
57,141,0.24
57,158,0.43
57,162,0.67
58,66,0.19
58,80,0.2
58,101,0.47
58,112,0.8
58,145,0.86
59,109,0.4
59,128,0.26
59,140,0.24
59,148,0.17
59,153,0.78
59,177,0.84
60,70,0.6
60,78,0.67
60,79,0.11
60,90,0.42
61,64,0.83
61,84,0.16
61,122,0.81
62,65,0.43
62,71,0.58
62,81,0.78
62,125,0.62
62,132,0.63
62,133,0.8
62,164,0.38
62,166,0.69
62,180,0.14
63,67,0.84
63,134,0.29
63,146,0.85
63,147,0.78
63,157,0.39
63,169,0.54
63,191,0.67
63,197,0.19
64,84,0.41
64,122,0.85
64,154,0.45
64,181,0.8
65,71,0.51
65,81,0.78
65,125,0.4
65,132,0.84
65,133,0.29
65,135,0.85
66,80,0.15
66,101,0.61
66,145,0.52
66,190,0.52
67,134,0.21
67,147,0.26
67,157,0.75
67,169,0.4
67,191,0.89
67,197,0.18
68,75,0.35
68,86,0.73
68,91,0.66
68,111,0.61
68,115,0.75
68,138,0.43
68,149,0.34
68,170,0.8
68,198,0.65
69,74,0.28
69,102,0.2
69,105,0.46
69,106,0.89
69,118,0.13
69,160,0.35
69,171,0.66
69,189,0.56
70,78,0.39
70,79,0.78
70,82,0.37
70,90,0.28
71,81,0.63
71,125,0.81
71,132,0.13
71,133,0.81
71,135,0.88
71,164,0.47
71,180,0.68
72,84,0.37
72,122,0.69
72,154,0.3
72,181,0.48
73,83,0.46
73,93,0.72
73,108,0.32
73,114,0.1
73,161,0.9
73,164,0.44
73,179,0.24
74,102,0.69
74,105,0.19
74,106,0.1
74,118,0.62
74,160,0.82
74,171,0.29
75,86,0.69
75,91,0.59
75,111,0.68
75,115,0.67
75,149,0.3
75,170,0.44
76,87,0.68
76,110,0.72
76,130,0.88
76,159,0.33
76,165,0.18
76,172,0.11
76,187,0.29
76,195,0.25
76,199,0.13
77,88,0.58
77,98,0.68
77,99,0.26
77,142,0.62
77,152,0.18
77,196,0.89
78,79,0.2
78,82,0.52
78,90,0.25
78,121,0.42
78,136,0.81
78,143,0.67
78,200,0.11
79,82,0.87
79,90,0.64
79,121,0.21
79,136,0.8
79,143,0.2
79,200,0.32
80,101,0.51
80,145,0.31
80,190,0.21
81,125,0.58
81,132,0.26
81,133,0.3
81,135,0.51
81,164,0.73
81,166,0.84
81,180,0.76
82,90,0.26
82,121,0.48
82,136,0.75
82,143,0.46
82,200,0.41
83,93,0.83
83,108,0.87
83,114,0.72
83,161,0.31
83,164,0.6
83,179,0.76
84,122,0.37
84,154,0.1
84,181,0.7
85,113,0.2
85,137,0.74
85,139,0.54
85,173,0.21
86,91,0.22
86,111,0.13
86,115,0.73
86,138,0.4
86,149,0.59
86,170,0.62
86,198,0.68
87,110,0.74
87,130,0.67
87,151,0.45
87,159,0.38
87,165,0.59
87,172,0.36
87,187,0.52
87,199,0.37
88,98,0.73
88,99,0.28
88,142,0.88
88,152,0.12
88,196,0.82
89,97,0.82
89,120,0.25
89,131,0.84
89,184,0.71
89,194,0.22
90,121,0.89
90,136,0.72
90,143,0.6
90,200,0.75
91,111,0.52
91,115,0.21
91,138,0.53
91,149,0.85
91,170,0.36
91,198,0.61
92,124,0.89
92,126,0.86
92,163,0.35
92,176,0.31
92,188,0.2
93,108,0.62
93,114,0.32
93,161,0.27
93,164,0.84
93,179,0.66
94,95,0.43
94,100,0.14
94,103,0.21
94,117,0.67
94,185,0.15
94,193,0.26
95,100,0.34
95,103,0.23
95,117,0.38
95,185,0.77
95,193,0.51
96,109,0.57
96,128,0.75
96,140,0.35
96,148,0.18
96,153,0.68
96,168,0.12
96,177,0.29
97,120,0.65
97,131,0.23
97,184,0.36
97,194,0.87
98,99,0.65
98,142,0.65
98,152,0.74
98,196,0.21
99,142,0.72
99,152,0.87
99,196,0.46
100,103,0.39
100,117,0.55
100,185,0.51
100,193,0.56
101,145,0.5
101,190,0.43
102,105,0.53
102,106,0.11
102,118,0.73
102,160,0.45
102,171,0.69
102,189,0.9
103,117,0.48
103,185,0.38
103,193,0.22
104,141,0.16
104,158,0.6
104,162,0.27
105,106,0.72
105,118,0.75
105,160,0.5
105,171,0.76
105,189,0.49
106,118,0.9
106,160,0.63
106,171,0.3
106,189,0.26
107,127,0.31
107,144,0.72
107,150,0.88
107,167,0.26
107,186,0.64
108,114,0.25
108,161,0.66
108,164,0.35
108,179,0.69
109,128,0.85
109,140,0.64
109,148,0.79
109,153,0.79
109,168,0.75
109,177,0.35
110,130,0.84
110,151,0.5
110,159,0.65
110,165,0.24
110,172,0.75
110,187,0.72
110,195,0.23
110,199,0.42
111,115,0.75
111,138,0.55
111,149,0.51
111,170,0.25
111,198,0.1
112,174,0.65
112,192,0.6
113,137,0.4
113,139,0.66
113,173,0.54
114,161,0.89
114,164,0.75
114,179,0.23
115,138,0.29
115,149,0.65
115,170,0.15
115,198,0.32
116,123,0.3
116,129,0.84
116,156,0.75
116,175,0.68
116,178,0.86
116,183,0.4
117,185,0.57
117,193,0.5
118,160,0.66
118,171,0.28
118,189,0.28
119,141,0.25
119,158,0.72
119,162,0.49
120,131,0.45
120,184,0.67
120,194,0.73
121,136,0.85
121,143,0.21
121,200,0.38
122,154,0.36
122,181,0.36
123,129,0.5
123,156,0.61
123,175,0.61
123,178,0.52
123,183,0.4
124,126,0.34
124,163,0.13
124,176,0.85
124,188,0.67
125,132,0.16
125,133,0.73
125,135,0.31
125,164,0.9
125,166,0.72
125,180,0.4
126,163,0.21
126,176,0.84
126,188,0.61
127,144,0.36
127,150,0.37
127,167,0.24
127,186,0.19
128,140,0.33
128,148,0.79
128,153,0.28
128,168,0.3
128,177,0.41
129,156,0.87
129,175,0.49
129,178,0.64
129,183,0.69
130,151,0.52
130,159,0.56
130,165,0.28
130,172,0.77
130,187,0.72
130,195,0.67
130,199,0.44
131,184,0.84
131,194,0.31
132,133,0.37
132,135,0.49
132,164,0.33
132,166,0.28
132,180,0.11
133,135,0.51
133,164,0.42
133,166,0.84
133,180,0.86
134,146,0.18
134,147,0.16
134,157,0.14
134,169,0.38
134,191,0.66
134,197,0.62
135,164,0.8
135,166,0.44
135,180,0.82
136,143,0.16
136,200,0.74
137,139,0.66
137,173,0.52
138,149,0.41
138,170,0.34
138,198,0.17
139,173,0.34
140,148,0.19
140,153,0.62
140,168,0.77
140,177,0.83
141,158,0.86
141,162,0.12
142,152,0.5
142,196,0.77
143,200,0.13
144,150,0.32
144,167,0.5
144,186,0.2
145,190,0.12
146,147,0.47
146,157,0.64
146,169,0.89
146,191,0.37
146,197,0.71
147,157,0.21
147,169,0.78
147,191,0.41
147,197,0.82
148,153,0.83
148,168,0.37
148,177,0.62
149,170,0.48
149,198,0.27
150,167,0.56
150,186,0.73
151,159,0.27
151,165,0.88
151,172,0.54
151,187,0.87
151,195,0.29
151,199,0.47
152,196,0.26
153,168,0.76
153,177,0.44
154,181,0.72
155,172,0.18
155,195,0.81
156,175,0.86
156,178,0.58
156,183,0.84
157,169,0.77
157,191,0.39
157,197,0.78
158,162,0.37
159,165,0.54
159,172,0.6
159,187,0.34
159,195,0.85
159,199,0.75
160,171,0.44
160,189,0.22
161,164,0.58
161,179,0.27
163,176,0.72
163,188,0.45
164,166,0.62
164,179,0.53
164,180,0.45
165,172,0.58
165,187,0.49
165,195,0.44
165,199,0.47
166,180,0.24
167,186,0.15
168,177,0.25
169,191,0.71
169,197,0.22
170,198,0.87
171,189,0.7
172,187,0.49
172,195,0.6
172,199,0.13
174,192,0.25
175,178,0.25
175,183,0.34
176,188,0.19
178,183,0.44
184,194,0.83
185,193,0.45
187,195,0.48
187,199,0.85
191,197,0.81
195,199,0.78
